FIPS,State,County,FIR,FIP,P_Below,P_Between,Percent Above Threshold,Meal,Budget,Year,Total,White,Black,Native,Asian,Pacific,Other,Biracial,Region,Budget Per FIP
48005,TX,Angelina,0.179,15640,0.688,0.054,0.258,2.81,7450000,2018,86395.0,0.6353029689218126,0.15160599571734476,0.006516580820649343,0.010637189652178946,0.0004861392441692228,0.09940390068869727,0.09604722495514786,East,476.34271099744245
48005,TX,Angelina,0.173,15090,0.68,0.03,0.291,2.84,7315000,2019,86395.0,0.6353029689218126,0.15160599571734476,0.006516580820649343,0.010637189652178946,0.0004861392441692228,0.09940390068869727,0.09604722495514786,East,484.7581179589132
48007,TX,Aransas,0.174,4050,0.637,0.065,0.298,2.27,1582470,2010,23830.0,0.7551825430130088,0.011078472513638271,0.010281158203944608,0.02102391942929081,0.0007133864876206462,0.06533780948384389,0.13638271086865295,South,390.73333333333335
48007,TX,Aransas,0.158,3680,0.658,0.085,0.257,2.37,1421860,2011,23830.0,0.7551825430130088,0.011078472513638271,0.010281158203944608,0.02102391942929081,0.0007133864876206462,0.06533780948384389,0.13638271086865295,South,386.375
48007,TX,Aransas,0.159,3720,0.7,0.065,0.234,2.526140962516199,1646000,2012,23830.0,0.7551825430130088,0.011078472513638271,0.010281158203944608,0.02102391942929081,0.0007133864876206462,0.06533780948384389,0.13638271086865295,South,442.4731182795699
48007,TX,Aransas,0.176,4150,0.697,0.048,0.255,2.5,1838000,2013,23830.0,0.7551825430130088,0.011078472513638271,0.010281158203944608,0.02102391942929081,0.0007133864876206462,0.06533780948384389,0.13638271086865295,South,442.89156626506025
48007,TX,Aransas,0.172,4110,0.721,0.05,0.229,2.63,1909000,2014,23830.0,0.7551825430130088,0.011078472513638271,0.010281158203944608,0.02102391942929081,0.0007133864876206462,0.06533780948384389,0.13638271086865295,South,464.47688564476886
48007,TX,Aransas,0.165,4010,0.766,0.064,0.17,2.73,1963000,2015,23830.0,0.7551825430130088,0.011078472513638271,0.010281158203944608,0.02102391942929081,0.0007133864876206462,0.06533780948384389,0.13638271086865295,South,489.52618453865335
48007,TX,Aransas,0.156,3860,0.716,0.027,0.257,2.92,1927000,2016,23830.0,0.7551825430130088,0.011078472513638271,0.010281158203944608,0.02102391942929081,0.0007133864876206462,0.06533780948384389,0.13638271086865295,South,499.22279792746116
48007,TX,Aransas,0.165,4100,0.65,0.024,0.327,2.95,2064000,2017,23830.0,0.7551825430130088,0.011078472513638271,0.010281158203944608,0.02102391942929081,0.0007133864876206462,0.06533780948384389,0.13638271086865295,South,503.4146341463415
48007,TX,Aransas,0.184,4560,0.685,0.069,0.245,2.96,2284000,2018,23830.0,0.7551825430130088,0.011078472513638271,0.010281158203944608,0.02102391942929081,0.0007133864876206462,0.06533780948384389,0.13638271086865295,South,500.87719298245617
48007,TX,Aransas,0.182,4450,0.685,0.049,0.265,3.01,2290000,2019,23830.0,0.7551825430130088,0.011078472513638271,0.010281158203944608,0.02102391942929081,0.0007133864876206462,0.06533780948384389,0.13638271086865295,South,514.6067415730337
48009,TX,Archer,0.149,1350,0.457,0.089,0.453,2.64,613470,2010,8560.0,0.882126168224299,0.003738317757009346,0.012616822429906542,0.0022196261682242992,0.0,0.03516355140186916,0.0641355140186916,Plains,454.4222222222222
48009,TX,Archer,0.136,1220,0.508,0.123,0.369,2.42,481320,2011,8560.0,0.882126168224299,0.003738317757009346,0.012616822429906542,0.0022196261682242992,0.0,0.03516355140186916,0.0641355140186916,Plains,394.5245901639344
48009,TX,Archer,0.146,1300,0.495,0.088,0.418,2.486705429399569,566000,2012,8560.0,0.882126168224299,0.003738317757009346,0.012616822429906542,0.0022196261682242992,0.0,0.03516355140186916,0.0641355140186916,Plains,435.38461538461536
48009,TX,Archer,0.167,1480,0.507,0.077,0.416,2.56,669000,2013,8560.0,0.882126168224299,0.003738317757009346,0.012616822429906542,0.0022196261682242992,0.0,0.03516355140186916,0.0641355140186916,Plains,452.02702702702703
48009,TX,Archer,0.16,1420,0.498,0.033,0.469,2.67,670000,2014,8560.0,0.882126168224299,0.003738317757009346,0.012616822429906542,0.0022196261682242992,0.0,0.03516355140186916,0.0641355140186916,Plains,471.83098591549293
48009,TX,Archer,0.16,1410,0.517,0.057,0.426,2.66,673000,2015,8560.0,0.882126168224299,0.003738317757009346,0.012616822429906542,0.0022196261682242992,0.0,0.03516355140186916,0.0641355140186916,Plains,477.3049645390071
48009,TX,Archer,0.148,1290,0.502,0.034,0.463,2.79,615000,2016,8560.0,0.882126168224299,0.003738317757009346,0.012616822429906542,0.0022196261682242992,0.0,0.03516355140186916,0.0641355140186916,Plains,476.74418604651163
